date,vn_cpi,jp_cpi
2020-01-01,1.23,-0.1
2020-02-01,-0.17,-0.2
2020-03-01,-0.72,0.0
2020-04-01,-1.54,-0.1
2020-05-01,-0.03,0.0
2020-06-01,0.66,-0.2
2020-07-01,0.4,0.1
2020-08-01,0.07,0.1
2020-09-01,0.12,-0.2
2020-10-01,0.09,-0.1
2020-11-01,-0.01,-0.3
2020-12-01,0.1,-0.2
2021-01-01,0.06,0.5
2021-02-01,1.52,-0.1
2021-03-01,-0.27,0.1
2021-04-01,-0.04,-0.8
2021-05-01,0.16,0.3
2021-06-01,0.19,0.1
2021-07-01,0.62,0.2
2021-08-01,0.25,0.0
2021-09-01,-0.62,0.4
2021-10-01,-0.2,-0.2
2021-11-01,0.32,0.2
2021-12-01,-0.18,0.0
2022-01-01,0.19,0.3
2022-02-01,1.0,0.4
2022-03-01,0.7,0.4
2022-04-01,0.18,0.4
2022-05-01,0.38,0.3
2022-06-01,0.69,0.0
2022-07-01,0.4,0.5
2022-08-01,0.01,0.4
2022-09-01,0.4,0.4
2022-10-01,0.15,0.6
2022-11-01,0.39,0.2
2022-12-01,-0.01,0.2
2023-01-01,0.52,0.5
2023-02-01,0.45,-0.6
2023-03-01,-0.23,0.4
2023-04-01,-0.34,0.6
2023-05-01,0.01,0.1
2023-06-01,0.27,0.1
2023-07-01,0.45,0.5
2023-08-01,0.88,0.3
2023-09-01,1.08,0.3
2023-10-01,0.08,0.9
2023-11-01,0.25,-0.2
2023-12-01,0.12,-0.1
2024-01-01,0.31,0.1
2024-02-01,1.04,0.0
2024-03-01,-0.23,0.3
2024-04-01,0.07,0.4
2024-05-01,0.05,0.4
2024-06-01,0.17,0.1
2024-07-01,0.48,0.4
2024-08-01,0.0,0.5
2024-09-01,0.29,-0.3
2024-10-01,0.33,0.6
2024-11-01,0.13,0.4
2024-12-01,0.29,0.6
2025-01-01,0.98,0.5
2025-02-01,0.34,-0.4
2025-03-01,-0.03,0.3
2025-04-01,0.07,0.5
2025-05-01,0.16,0.3
2025-06-01,0.48,-0.1
2025-07-01,,0.2
2025-08-01,,0.2
2025-09-01,,-0.1
2025-10-01,,0.7
2025-11-01,,0.3
2025-12-01,,-0.2
