date,overnight_interest_rate,is_original
2020-01-02,2.44,True
2020-01-03,1.99,True
2020-01-04,1.99,False
2020-01-05,1.99,False
2020-01-06,1.99,False
2020-01-07,1.31,True
2020-01-08,1.1,True
2020-01-09,0.93,True
2020-01-10,0.79,True
2020-01-11,0.79,False
2020-01-12,0.79,False
2020-01-13,0.75,True
2020-01-14,0.74,True
2020-01-15,0.71,True
2020-01-16,0.82,True
2020-01-17,2.58,True
2020-01-18,2.58,False
2020-01-19,2.58,False
2020-01-20,2.89,True
2020-01-21,3.16,True
2020-01-22,3.15,True
2020-01-23,3.15,False
2020-01-24,3.15,False
2020-01-25,3.15,False
2020-01-26,3.15,False
2020-01-27,3.15,False
2020-01-28,3.15,False
2020-01-29,3.15,False
2020-01-30,2.85,True
2020-01-31,3.08,True
2020-02-01,3.08,False
2020-02-02,3.08,False
2020-02-03,3.15,True
2020-02-04,3.1,True
2020-02-05,2.81,True
2020-02-06,2.6,True
2020-02-07,2.33,True
2020-02-08,2.33,False
2020-02-09,2.33,False
2020-02-10,2.25,True
2020-02-11,2.25,False
2020-02-12,2.21,True
2020-02-13,2.05,True
2020-02-14,2.0,True
2020-02-15,2.0,False
2020-02-16,2.0,False
2020-02-17,1.91,True
2020-02-18,1.88,True
2020-02-19,1.9,True
2020-02-20,2.07,True
2020-02-21,2.09,True
2020-02-22,2.09,False
2020-02-23,2.09,False
2020-02-24,2.21,True
2020-02-25,2.51,True
2020-02-26,2.39,True
2020-02-27,2.1,True
2020-02-28,2.02,True
2020-02-29,2.02,False
2020-03-01,2.02,False
2020-03-02,2.05,True
2020-03-03,2.03,True
2020-03-04,1.99,True
2020-03-05,1.96,True
2020-03-06,2.01,True
2020-03-07,2.01,False
2020-03-08,2.01,False
2020-03-09,2.22,True
2020-03-10,2.37,True
2020-03-11,2.44,True
2020-03-12,2.48,True
2020-03-13,2.33,True
2020-03-14,2.33,False
2020-03-15,2.33,False
2020-03-16,2.24,True
2020-03-17,2.11,True
2020-03-18,2.02,True
2020-03-19,1.95,True
2020-03-20,1.86,True
2020-03-21,1.86,False
2020-03-22,1.86,False
2020-03-23,1.89,True
2020-03-24,1.87,True
2020-03-25,1.86,True
2020-03-26,1.9,True
2020-03-27,2.07,True
2020-03-28,2.07,False
2020-03-29,2.07,False
2020-03-30,2.19,True
2020-03-31,2.44,True
2020-04-01,3.27,True
2020-04-02,3.27,False
2020-04-03,3.53,True
2020-04-04,3.53,False
2020-04-05,3.53,False
2020-04-06,3.56,True
2020-04-07,3.2,True
2020-04-08,2.7,True
2020-04-09,2.33,True
2020-04-10,1.93,True
2020-04-11,1.93,False
2020-04-12,1.93,False
2020-04-13,1.74,True
