date,yield
24/06/2025,0.00%
23/06/2025,+0.14%
20/06/2025,-0.04%
19/06/2025,-0.04%
18/06/2025,+1.11%
17/06/2025,0.00%
16/06/2025,0.00%
13/06/2025,-0.08%
12/06/2025,+0.08%
11/06/2025,0.00%
10/06/2025,0.00%
09/06/2025,-0.04%
06/06/2025,-0.08%
05/06/2025,-0.04%
04/06/2025,0.00%
03/06/2025,-0.04%
02/06/2025,+0.69%
30/05/2025,-0.04%
29/05/2025,0.00%
28/05/2025,-0.27%
27/05/2025,-0.04%
26/05/2025,+0.39%
23/05/2025,+1.94%
22/05/2025,+0.40%
21/05/2025,-1.98%
20/05/2025,-0.23%
19/05/2025,+0.70%
16/05/2025,-0.04%
15/05/2025,-0.04%
14/05/2025,0.00%
13/05/2025,0.00%
12/05/2025,-0.04%
09/05/2025,-0.04%
08/05/2025,+0.12%
07/05/2025,0.00%
06/05/2025,+0.08%
05/05/2025,+0.04%
29/04/2025,-0.12%
28/04/2025,+0.71%
25/04/2025,-0.43%
24/04/2025,+1.03%
23/04/2025,+0.32%
22/04/2025,+0.44%
21/04/2025,-0.04%
18/04/2025,-0.12%
17/04/2025,0.00%
16/04/2025,-0.04%
15/04/2025,+0.36%
14/04/2025,+0.12%
11/04/2025,+0.20%
10/04/2025,-0.44%
09/04/2025,-0.32%
08/04/2025,+0.44%
04/04/2025,-0.16%
03/04/2025,+3.64%
02/04/2025,-0.37%
01/04/2025,+0.87%
31/03/2025,-1.63%
28/03/2025,-0.12%
27/03/2025,-0.33%
26/03/2025,-0.16%
25/03/2025,0.00%
24/03/2025,+0.57%
21/03/2025,+0.37%
20/03/2025,0.00%
19/03/2025,+0.29%
18/03/2025,-1.74%
17/03/2025,-0.24%
14/03/2025,-0.16%
13/03/2025,0.00%
12/03/2025,-0.04%
11/03/2025,-0.08%
10/03/2025,0.00%
07/03/2025,-0.52%
06/03/2025,-0.83%
05/03/2025,-1.41%
04/03/2025,-0.39%
03/03/2025,+0.78%
28/02/2025,-0.23%
27/02/2025,-0.16%
26/02/2025,-0.20%
25/02/2025,-0.62%
24/02/2025,-0.15%
21/02/2025,-0.08%
20/02/2025,-0.42%
19/02/2025,-0.04%
18/02/2025,+0.66%
17/02/2025,0.00%
14/02/2025,-0.42%
13/02/2025,+0.74%
12/02/2025,+0.70%
11/02/2025,+1.07%
10/02/2025,+0.84%
07/02/2025,-0.08%
06/02/2025,+2.07%
05/02/2025,-0.24%
04/02/2025,-0.28%
03/02/2025,+2.19%
31/01/2025,0.00%
30/01/2025,0.00%
29/01/2025,0.00%
28/01/2025,0.00%
27/01/2025,-2.03%
24/01/2025,-0.12%
23/01/2025,-1.40%
22/01/2025,-0.16%
21/01/2025,-0.55%
20/01/2025,-0.75%
17/01/2025,+0.24%
16/01/2025,-0.35%
15/01/2025,-0.86%
14/01/2025,-0.16%
13/01/2025,+2.51%
10/01/2025,+2.20%
09/01/2025,0.00%
08/01/2025,0.00%
07/01/2025,+0.20%
06/01/2025,-0.08%
03/01/2025,+0.16%
02/01/2025,+0.33%
31/12/2024,-0.04%
30/12/2024,0.00%
27/12/2024,-0.04%
26/12/2024,-0.49%
25/12/2024,-0.04%
24/12/2024,-0.12%
23/12/2024,+0.82%
20/12/2024,+2.52%
19/12/2024,+5.41%
18/12/2024,-0.22%
17/12/2024,+0.67%
16/12/2024,+0.04%
13/12/2024,-0.22%
12/12/2024,+2.79%
11/12/2024,+1.77%
10/12/2024,-0.05%
09/12/2024,+0.75%
06/12/2024,+0.47%
05/12/2024,-0.37%
04/12/2024,+0.99%
03/12/2024,+1.29%
02/12/2024,+0.68%
29/11/2024,-0.05%
28/11/2024,-0.05%
27/11/2024,0.00%
26/11/2024,+0.14%
25/11/2024,0.00%
22/11/2024,+0.53%
21/11/2024,+0.19%
20/11/2024,0.00%
19/11/2024,-0.19%
18/11/2024,0.00%
15/11/2024,-0.05%
14/11/2024,+0.44%
13/11/2024,+0.44%
12/11/2024,-0.24%
11/11/2024,+0.15%
08/11/2024,0.00%
07/11/2024,+0.99%
06/11/2024,-0.25%
05/11/2024,-0.15%
04/11/2024,+0.74%
01/11/2024,-0.59%
31/10/2024,+0.35%
30/10/2024,0.00%
29/10/2024,+0.10%
28/10/2024,-0.35%
25/10/2024,+0.30%
24/10/2024,+0.30%
23/10/2024,-0.05%
22/10/2024,+0.50%
21/10/2024,0.00%
18/10/2024,+0.15%
17/10/2024,+0.75%
16/10/2024,-0.85%
15/10/2024,-0.55%
14/10/2024,+1.05%
11/10/2024,+0.25%
10/10/2024,-0.50%
09/10/2024,-0.60%
08/10/2024,-0.69%
07/10/2024,-0.30%
04/10/2024,+0.79%
03/10/2024,-1.03%
02/10/2024,+0.10%
01/10/2024,+0.44%
30/09/2024,+0.35%
27/09/2024,+0.35%
26/09/2024,-0.45%
25/09/2024,-0.15%
24/09/2024,-1.60%
23/09/2024,-0.10%
20/09/2024,-0.15%
19/09/2024,-0.72%
18/09/2024,+0.05%
17/09/2024,-0.10%
16/09/2024,-0.43%
13/09/2024,+0.29%
12/09/2024,-0.05%
11/09/2024,+0.24%
10/09/2024,+0.34%
09/09/2024,-0.62%
06/09/2024,-0.38%
05/09/2024,-0.66%
04/09/2024,+0.33%
30/08/2024,-0.10%
29/08/2024,0.00%
28/08/2024,+0.62%
27/08/2024,-0.48%
26/08/2024,-0.19%
23/08/2024,-0.05%
22/08/2024,+0.19%
21/08/2024,-0.05%
20/08/2024,0.00%
19/08/2024,-0.24%
16/08/2024,-0.05%
15/08/2024,+0.29%
14/08/2024,-0.76%
13/08/2024,+0.28%
12/08/2024,-0.85%
09/08/2024,+0.42%
08/08/2024,0.00%
07/08/2024,+0.28%
06/08/2024,-1.03%
05/08/2024,+0.28%
02/08/2024,0.00%
01/08/2024,+0.80%
31/07/2024,+0.33%
30/07/2024,-0.38%
29/07/2024,-0.14%
26/07/2024,+0.52%
25/07/2024,-0.05%
24/07/2024,-0.09%
23/07/2024,-0.14%
22/07/2024,+0.09%
19/07/2024,+0.05%
18/07/2024,-0.52%
17/07/2024,0.00%
16/07/2024,+0.19%
15/07/2024,-0.14%
12/07/2024,-0.33%
11/07/2024,0.00%
10/07/2024,+0.09%
09/07/2024,-0.05%
08/07/2024,0.00%
05/07/2024,-0.05%
04/07/2024,+0.19%
03/07/2024,-0.28%
02/07/2024,-1.94%
01/07/2024,+2.02%
28/06/2024,-0.14%
27/06/2024,+0.24%
26/06/2024,+0.95%
25/06/2024,-0.94%
24/06/2024,+0.43%
21/06/2024,-0.24%
20/06/2024,+0.33%
19/06/2024,-0.52%
18/06/2024,+0.47%
17/06/2024,0.00%
14/06/2024,-1.40%
13/06/2024,-1.43%
12/06/2024,-0.05%
11/06/2024,+0.74%
10/06/2024,0.00%
07/06/2024,-0.55%
06/06/2024,+0.14%
05/06/2024,-0.23%
04/06/2024,-0.73%
03/06/2024,-0.09%
31/05/2024,-0.72%
30/05/2024,+0.36%
29/05/2024,-0.18%
28/05/2024,-0.85%
27/05/2024,+0.05%
24/05/2024,-0.13%
23/05/2024,+0.36%
22/05/2024,+1.93%
21/05/2024,-0.09%
20/05/2024,0.00%
17/05/2024,-0.32%
16/05/2024,-0.64%
15/05/2024,+0.27%
14/05/2024,-0.14%
13/05/2024,+0.41%
10/05/2024,-0.23%
09/05/2024,-0.32%
08/05/2024,+0.73%
07/05/2024,-0.95%
06/05/2024,-1.08%
03/05/2024,-0.67%
02/05/2024,+2.84%
01/05/2024,0.00%
30/04/2024,0.00%
29/04/2024,-2.24%
26/04/2024,0.00%
25/04/2024,-1.59%
24/04/2024,+1.25%
23/04/2024,-2.10%
22/04/2024,+0.44%
19/04/2024,+2.71%
18/04/2024,-2.21%
17/04/2024,0.00%
16/04/2024,+0.94%
15/04/2024,+1.26%
12/04/2024,+3.55%
11/04/2024,+2.20%
10/04/2024,-2.38%
09/04/2024,-3.64%
08/04/2024,+1.97%
05/04/2024,-3.62%
04/04/2024,-0.31%
03/04/2024,+3.08%
02/04/2024,+10.64%
01/04/2024,+2.73%
29/03/2024,+2.16%
28/03/2024,+3.15%
27/03/2024,+0.38%
26/03/2024,+1.55%
25/03/2024,+3.02%
22/03/2024,-0.23%
21/03/2024,-0.40%
20/03/2024,+0.17%
19/03/2024,-0.06%
18/03/2024,+1.85%
15/03/2024,-1.42%
14/03/2024,+0.57%
13/03/2024,+3.19%
12/03/2024,+1.20%
11/03/2024,+0.91%
08/03/2024,+5.21%
07/03/2024,+4.79%
06/03/2024,-0.66%
05/03/2024,+0.47%
04/03/2024,-1.51%
01/03/2024,+0.26%
29/02/2024,+0.93%
28/02/2024,-2.89%
27/02/2024,-0.06%
26/02/2024,-0.83%
23/02/2024,+2.08%
22/02/2024,+1.18%
21/02/2024,+0.86%
20/02/2024,-0.46%
19/02/2024,+0.67%
16/02/2024,-1.25%
15/02/2024,+5.22%
14/02/2024,0.00%
13/02/2024,0.00%
12/02/2024,0.00%
09/02/2024,0.00%
08/02/2024,-3.70%
07/02/2024,-0.73%
06/02/2024,+0.53%
05/02/2024,+0.60%
02/02/2024,-1.06%
01/02/2024,+3.77%
31/01/2024,-0.55%
30/01/2024,+0.41%
29/01/2024,+0.62%
26/01/2024,+2.18%
25/01/2024,-1.53%
24/01/2024,-0.21%
23/01/2024,-1.70%
22/01/2024,-0.81%
19/01/2024,+1.65%
18/01/2024,-1.82%
17/01/2024,-2.24%
16/01/2024,-3.13%
15/01/2024,-7.00%
12/01/2024,+4.59%
11/01/2024,-3.36%
10/01/2024,-1.94%
09/01/2024,+1.86%
08/01/2024,-1.30%
05/01/2024,-1.28%
04/01/2024,-1.44%
03/01/2024,+1.58%
02/01/2024,+2.64%
01/01/2024,-2.91%
29/12/2023,-0.12%
28/12/2023,+0.94%
27/12/2023,-0.76%
26/12/2023,+1.18%
25/12/2023,-1.40%
22/12/2023,-0.58%
21/12/2023,-0.46%
20/12/2023,0.00%
19/12/2023,-0.06%
18/12/2023,0.00%
15/12/2023,-0.17%
14/12/2023,-3.81%
13/12/2023,+5.60%
12/12/2023,-7.05%
11/12/2023,+3.54%
08/12/2023,-3.57%
07/12/2023,+0.82%
06/12/2023,+2.69%
05/12/2023,0.00%
04/12/2023,-9.07%
01/12/2023,+0.15%
30/11/2023,-0.20%
29/11/2023,-0.71%
28/11/2023,0.00%
27/11/2023,+0.20%
24/11/2023,-0.30%
23/11/2023,-0.40%
22/11/2023,+10.44%
21/11/2023,-1.69%
20/11/2023,-9.36%
17/11/2023,-0.83%
16/11/2023,-0.29%
15/11/2023,+1.24%
14/11/2023,-1.90%
13/11/2023,-1.48%
10/11/2023,-0.14%
09/11/2023,+3.26%
08/11/2023,-0.05%
07/11/2023,-0.25%
06/11/2023,-0.25%
03/11/2023,-0.20%
02/11/2023,-0.10%
01/11/2023,+2.82%
31/10/2023,+0.10%
30/10/2023,+1.64%
27/10/2023,-3.41%
26/10/2023,-0.88%
25/10/2023,+0.05%
24/10/2023,-0.24%
23/10/2023,-0.05%
20/10/2023,-0.54%
19/10/2023,+0.24%
18/10/2023,+2.55%
17/10/2023,-2.01%
16/10/2023,-0.58%
13/10/2023,-0.53%
12/10/2023,-0.05%
11/10/2023,+1.47%
10/10/2023,-2.31%
09/10/2023,+3.84%
06/10/2023,-1.28%
05/10/2023,-0.44%
04/10/2023,+4.24%
03/10/2023,+0.10%
02/10/2023,-5.14%
29/09/2023,+5.48%
28/09/2023,-0.91%
27/09/2023,-1.30%
26/09/2023,+1.27%
25/09/2023,-1.84%
22/09/2023,-0.35%
21/09/2023,-0.64%
20/09/2023,+3.73%
19/09/2023,-3.83%
18/09/2023,0.00%
15/09/2023,+2.73%
14/09/2023,-0.55%
13/09/2023,-3.02%
12/09/2023,-1.11%
11/09/2023,+1.76%
08/09/2023,-0.78%
07/09/2023,-1.44%
06/09/2023,+0.48%
05/09/2023,+10.30%
04/09/2023,0.00%
01/09/2023,-2.59%
31/08/2023,-5.75%
30/08/2023,+0.64%
29/08/2023,+0.49%
28/08/2023,0.00%
25/08/2023,+2.58%
24/08/2023,-2.61%
23/08/2023,0.00%
22/08/2023,+0.05%
21/08/2023,+3.68%
18/08/2023,-3.64%
17/08/2023,-0.15%
16/08/2023,+0.05%
15/08/2023,+0.10%
14/08/2023,+5.12%
11/08/2023,-2.47%
10/08/2023,-2.56%
09/08/2023,-0.97%
08/08/2023,-0.05%
07/08/2023,+0.10%
04/08/2023,+2.50%
03/08/2023,-0.69%
02/08/2023,-2.42%
01/08/2023,-0.77%
31/07/2023,0.00%
28/07/2023,-0.05%
27/07/2023,-1.56%
26/07/2023,-1.03%
25/07/2023,0.00%
24/07/2023,0.00%
21/07/2023,-0.09%
20/07/2023,-0.70%
19/07/2023,-0.28%
18/07/2023,+0.05%
17/07/2023,-1.05%
14/07/2023,-0.37%
13/07/2023,-2.14%
12/07/2023,-1.76%
11/07/2023,-3.27%
10/07/2023,-0.34%
07/07/2023,+1.07%
06/07/2023,-0.64%
05/07/2023,-0.55%
04/07/2023,-0.04%
03/07/2023,+0.38%
30/06/2023,+0.08%
29/06/2023,+0.04%
28/06/2023,0.00%
27/06/2023,-0.04%
26/06/2023,+0.38%
23/06/2023,-0.89%
22/06/2023,-1.29%
21/06/2023,+3.18%
20/06/2023,-4.48%
19/06/2023,-0.53%
16/06/2023,-3.13%
15/06/2023,-0.90%
14/06/2023,+4.77%
13/06/2023,-0.77%
12/06/2023,0.00%
09/06/2023,-3.50%
08/06/2023,+0.04%
07/06/2023,-0.08%
06/06/2023,-1.28%
05/06/2023,0.00%
02/06/2023,-0.54%
01/06/2023,+0.39%
31/05/2023,-5.63%
30/05/2023,-0.76%
29/05/2023,+0.99%
26/05/2023,+1.64%
25/05/2023,+0.37%
24/05/2023,-0.26%
23/05/2023,+2.72%
22/05/2023,-0.04%
19/05/2023,+0.31%
18/05/2023,+4.33%
17/05/2023,-3.14%
16/05/2023,-2.87%
15/05/2023,+1.57%
12/05/2023,-4.11%
11/05/2023,+2.68%
10/05/2023,+0.04%
09/05/2023,-3.95%
08/05/2023,+0.88%
05/05/2023,-3.63%
04/05/2023,+3.54%
03/05/2023,0.00%
02/05/2023,0.00%
01/05/2023,-1.77%
28/04/2023,+0.83%
27/04/2023,-7.70%
26/04/2023,0.00%
25/04/2023,-1.25%
24/04/2023,+0.16%
21/04/2023,-0.10%
20/04/2023,+3.27%
19/04/2023,-3.67%
18/04/2023,-0.07%
17/04/2023,+1.29%
14/04/2023,-1.12%
13/04/2023,+0.16%
12/04/2023,-0.62%
11/04/2023,-0.65%
10/04/2023,-0.84%
07/04/2023,-0.03%
06/04/2023,+0.88%
05/04/2023,-1.22%
04/04/2023,+0.55%
03/04/2023,-2.30%
31/03/2023,-4.97%
30/03/2023,-4.62%
29/03/2023,-1.38%
28/03/2023,-0.31%
27/03/2023,-1.95%
24/03/2023,-0.30%
23/03/2023,-4.55%
22/03/2023,-0.49%
21/03/2023,-0.60%
20/03/2023,-0.31%
17/03/2023,+0.91%
16/03/2023,-4.29%
15/03/2023,0.00%
14/03/2023,-0.59%
13/03/2023,-1.37%
10/03/2023,+0.15%
09/03/2023,-0.12%
08/03/2023,+0.44%
07/03/2023,-0.83%
06/03/2023,+0.24%
03/03/2023,-0.36%
02/03/2023,+0.42%
01/03/2023,+0.10%
28/02/2023,0.00%
27/02/2023,-0.20%
24/02/2023,+0.17%
23/02/2023,+0.44%
22/02/2023,+0.82%
21/02/2023,+0.22%
20/02/2023,+0.15%
17/02/2023,0.00%
16/02/2023,-0.10%
15/02/2023,0.00%
14/02/2023,-0.42%
13/02/2023,+0.15%
10/02/2023,-0.15%
09/02/2023,-0.42%
08/02/2023,-0.20%
07/02/2023,+0.34%
06/02/2023,-0.34%
03/02/2023,-1.04%
02/02/2023,-3.49%
01/02/2023,-5.62%
31/01/2023,-1.50%
30/01/2023,-0.89%
27/01/2023,+0.48%
26/01/2023,0.00%
25/01/2023,0.00%
24/01/2023,0.00%
23/01/2023,0.00%
20/01/2023,-1.10%
19/01/2023,-0.19%
18/01/2023,-1.14%
17/01/2023,-0.17%
16/01/2023,0.00%
13/01/2023,-0.59%
12/01/2023,-1.96%
11/01/2023,-0.16%
10/01/2023,-0.39%
09/01/2023,-0.77%
06/01/2023,-0.18%
05/01/2023,-0.20%
04/01/2023,+0.10%
03/01/2023,+0.98%
02/01/2023,-1.01%
30/12/2022,-0.26%
29/12/2022,-0.74%
28/12/2022,-0.02%
27/12/2022,0.00%
26/12/2022,+0.08%
23/12/2022,-0.38%
22/12/2022,-0.18%
21/12/2022,0.00%
20/12/2022,-0.28%
19/12/2022,-0.14%
16/12/2022,-0.02%
15/12/2022,-0.10%
14/12/2022,0.00%
13/12/2022,0.00%
12/12/2022,0.00%
09/12/2022,-0.08%
08/12/2022,-0.18%
07/12/2022,-0.02%
06/12/2022,0.00%
05/12/2022,0.00%
02/12/2022,0.00%
01/12/2022,0.00%
30/11/2022,0.00%
29/11/2022,+0.08%
28/11/2022,-0.04%
25/11/2022,-0.02%
24/11/2022,+0.20%
23/11/2022,0.00%
22/11/2022,0.00%
21/11/2022,-0.02%
18/11/2022,0.00%
17/11/2022,0.00%
16/11/2022,0.00%
15/11/2022,-0.26%
14/11/2022,-0.28%
11/11/2022,0.00%
10/11/2022,-0.08%
09/11/2022,0.00%
08/11/2022,-0.02%
07/11/2022,0.00%
04/11/2022,+0.02%
03/11/2022,+0.10%
02/11/2022,+0.42%
01/11/2022,+0.14%
31/10/2022,+0.08%
28/10/2022,-0.02%
27/10/2022,+0.28%
26/10/2022,+0.36%
25/10/2022,+1.19%
24/10/2022,0.00%
21/10/2022,+0.28%
20/10/2022,+0.47%
19/10/2022,-0.41%
18/10/2022,-1.62%
17/10/2022,-0.20%
14/10/2022,0.00%
13/10/2022,-0.18%
12/10/2022,+0.74%
11/10/2022,-0.28%
10/10/2022,+0.99%
07/10/2022,+0.02%
06/10/2022,-0.12%
05/10/2022,+1.39%
04/10/2022,+3.95%
03/10/2022,+0.04%
30/09/2022,+0.53%
29/09/2022,-0.70%
28/09/2022,+2.17%
27/09/2022,+6.54%
26/09/2022,+0.49%
23/09/2022,+2.52%
22/09/2022,+9.72%
21/09/2022,+10.25%
20/09/2022,+1.70%
19/09/2022,-0.35%
16/09/2022,+1.42%
15/09/2022,-0.09%
14/09/2022,+1.38%
13/09/2022,+0.51%
12/09/2022,-0.30%
09/09/2022,-0.72%
08/09/2022,-0.45%
07/09/2022,+1.51%
06/09/2022,+1.10%
05/09/2022,+2.37%
02/09/2022,0.00%
01/09/2022,-1.54%
31/08/2022,+0.18%
30/08/2022,+0.03%
29/08/2022,+0.06%
26/08/2022,0.00%
25/08/2022,+0.22%
24/08/2022,+0.25%
23/08/2022,+1.57%
22/08/2022,+0.06%
19/08/2022,+0.06%
18/08/2022,+0.70%
17/08/2022,+0.32%
16/08/2022,-0.44%
15/08/2022,-0.09%
12/08/2022,-0.06%
11/08/2022,-3.45%
10/08/2022,-1.35%
09/08/2022,+2.22%
08/08/2022,+0.22%
05/08/2022,+0.43%
04/08/2022,+0.69%
03/08/2022,+0.06%
02/08/2022,-1.66%
01/08/2022,+1.40%
29/07/2022,+3.24%
28/07/2022,-9.58%
27/07/2022,+11.71%
26/07/2022,+4.90%
25/07/2022,+1.45%
22/07/2022,+1.15%
21/07/2022,+0.49%
20/07/2022,-0.21%
19/07/2022,+5.08%
18/07/2022,+1.95%
15/07/2022,+0.68%
14/07/2022,+1.07%
13/07/2022,-0.04%
12/07/2022,-0.46%
11/07/2022,+0.15%
08/07/2022,+0.34%
07/07/2022,-0.27%
06/07/2022,-0.68%
05/07/2022,+0.08%
04/07/2022,+0.11%
01/07/2022,+3.65%
30/06/2022,+0.20%
29/06/2022,-0.47%
28/06/2022,-0.27%
27/06/2022,+0.04%
24/06/2022,+0.20%
23/06/2022,-0.27%
22/06/2022,-0.39%
21/06/2022,-0.92%
20/06/2022,+1.88%
17/06/2022,-2.64%
16/06/2022,-3.08%
15/06/2022,+2.20%
14/06/2022,+1.15%
13/06/2022,+3.08%
10/06/2022,-0.35%
09/06/2022,-2.04%
08/06/2022,+0.12%
07/06/2022,+1.89%
06/06/2022,+0.08%
03/06/2022,-0.39%
02/06/2022,+0.95%
01/06/2022,-0.12%
31/05/2022,-0.47%
30/05/2022,-0.74%
27/05/2022,+0.23%
26/05/2022,+1.23%
25/05/2022,-0.43%
24/05/2022,-0.67%
23/05/2022,-0.16%
20/05/2022,-0.93%
19/05/2022,-0.23%
18/05/2022,-1.60%
17/05/2022,-0.34%
16/05/2022,-1.79%
13/05/2022,+1.17%
12/05/2022,+2.99%
11/05/2022,+4.63%
10/05/2022,-0.36%
09/05/2022,+1.56%
06/05/2022,+3.22%
05/05/2022,+1.72%
04/05/2022,+5.41%
03/05/2022,0.00%
02/05/2022,-2.22%
29/04/2022,-0.62%
28/04/2022,+0.13%
27/04/2022,-0.66%
26/04/2022,-4.05%
25/04/2022,-0.08%
22/04/2022,-0.29%
21/04/2022,-0.67%
20/04/2022,+1.61%
19/04/2022,-6.31%
18/04/2022,+2.57%
15/04/2022,-0.20%
14/04/2022,-0.28%
13/04/2022,-0.92%
12/04/2022,+10.27%
11/04/2022,-2.17%
08/04/2022,+4.53%
07/04/2022,-8.19%
06/04/2022,+17.43%
05/04/2022,+7.39%
04/04/2022,+0.32%
01/04/2022,+0.26%
31/03/2022,-0.26%
30/03/2022,-1.86%
29/03/2022,-0.21%
28/03/2022,+3.91%
25/03/2022,-2.40%
24/03/2022,-1.44%
23/03/2022,-0.10%
22/03/2022,+0.15%
21/03/2022,+5.09%
18/03/2022,+0.76%
17/03/2022,+2.63%
16/03/2022,-1.92%
15/03/2022,+10.03%
14/03/2022,+0.79%
11/03/2022,+3.53%
10/03/2022,-5.54%
09/03/2022,-1.18%
08/03/2022,-3.63%
07/03/2022,+4.13%
04/03/2022,-6.15%
03/03/2022,+11.02%
02/03/2022,-1.34%
01/03/2022,+5.58%
28/02/2022,+12.15%
25/02/2022,+9.10%
24/02/2022,+4.17%
23/02/2022,+2.43%
22/02/2022,-2.85%
21/02/2022,0.00%
18/02/2022,-2.38%
17/02/2022,+16.13%
16/02/2022,+5.03%
15/02/2022,+4.45%
14/02/2022,-1.69%
11/02/2022,+2.97%
10/02/2022,-1.11%
09/02/2022,+0.82%
08/02/2022,+1.24%
