Ngày áp dụng,Lãi suất qua đêm
02/01/2020,"2,44"
03/01/2020,"1,99"
07/01/2020,"1,31"
08/01/2020,"1,10"
09/01/2020,",93"
10/01/2020,",79"
13/01/2020,",75"
14/01/2020,",74"
15/01/2020,",71"
16/01/2020,",82"
17/01/2020,"2,58"
20/01/2020,"2,89"
21/01/2020,"3,16"
22/01/2020,"3,15"
30/01/2020,"2,85"
31/01/2020,"3,08"
03/02/2020,"3,15"
04/02/2020,"3,10"
05/02/2020,"2,81"
06/02/2020,"2,60"
07/02/2020,"2,33"
10/02/2020,"2,25"
12/02/2020,"2,21"
13/02/2020,"2,05"
14/02/2020,"2,00"
17/02/2020,"1,91"
18/02/2020,"1,88"
19/02/2020,"1,90"
20/02/2020,"2,07"
21/02/2020,"2,09"
24/02/2020,"2,21"
25/02/2020,"2,51"
26/02/2020,"2,39"
27/02/2020,"2,10"
28/02/2020,"2,02"
02/03/2020,"2,05"
03/03/2020,"2,03"
04/03/2020,"1,99"
05/03/2020,"1,96"
06/03/2020,"2,01"
09/03/2020,"2,22"
10/03/2020,"2,37"
11/03/2020,"2,44"
12/03/2020,"2,48"
13/03/2020,"2,33"
16/03/2020,"2,24"
17/03/2020,"2,11"
18/03/2020,"2,02"
19/03/2020,"1,95"
20/03/2020,"1,86"
23/03/2020,"1,89"
24/03/2020,"1,87"
25/03/2020,"1,86"
26/03/2020,"1,90"
27/03/2020,"2,07"
30/03/2020,"2,19"
31/03/2020,"2,44"
01/04/2020,"3,27"
03/04/2020,"3,53"
06/04/2020,"3,56"
07/04/2020,"3,20"
08/04/2020,"2,70"
09/04/2020,"2,33"
10/04/2020,"1,93"
13/04/2020,"1,74"
14/04/2020,"1,70"
15/04/2020,"1,77"
16/04/2020,"1,63"
17/04/2020,"1,59"
20/04/2020,"1,75"
21/04/2020,"2,49"
22/04/2020,"2,55"
23/04/2020,"2,29"
24/04/2020,"2,04"
27/04/2020,"1,92"
28/04/2020,"1,94"
29/04/2020,"2,11"
04/05/2020,"2,00"
05/05/2020,"2,24"
06/05/2020,"2,13"
07/05/2020,"1,97"
08/05/2020,"1,75"
11/05/2020,"1,60"
12/05/2020,"1,52"
13/05/2020,"1,38"
14/05/2020,"1,26"
15/05/2020,"1,19"
18/05/2020,"1,02"
19/05/2020,",88"
20/05/2020,",60"
21/05/2020,",47"
22/05/2020,",41"
25/05/2020,",47"
26/05/2020,",40"
27/05/2020,",33"
28/05/2020,",28"
29/05/2020,",30"
01/06/2020,",46"
02/06/2020,",38"
03/06/2020,",33"
04/06/2020,",27"
05/06/2020,",25"
08/06/2020,",23"
09/06/2020,",20"
10/06/2020,",18"
11/06/2020,",16"
12/06/2020,",18"
16/06/2020,",17"
17/06/2020,",17"
18/06/2020,",15"
19/06/2020,",13"
22/06/2020,",14"
23/06/2020,",15"
24/06/2020,",15"
25/06/2020,",13"
26/06/2020,",13"
29/06/2020,",12"
30/06/2020,",15"
01/07/2020,",13"
02/07/2020,",12"
03/07/2020,",12"
06/07/2020,",13"
07/07/2020,",13"
08/07/2020,",13"
09/07/2020,",14"
10/07/2020,",15"
13/07/2020,",15"
14/07/2020,",14"
15/07/2020,",14"
16/07/2020,",13"
17/07/2020,",14"
20/07/2020,",15"
21/07/2020,",15"
22/07/2020,",15"
23/07/2020,",14"
24/07/2020,",15"
27/07/2020,",19"
28/07/2020,",24"
29/07/2020,",24"
30/07/2020,",20"
31/07/2020,",21"
03/08/2020,",25"
04/08/2020,",25"
05/08/2020,",25"
06/08/2020,",24"
07/08/2020,",22"
10/08/2020,",22"
13/08/2020,",18"
14/08/2020,",18"
17/08/2020,",19"
20/08/2020,",19"
21/08/2020,",19"
24/08/2020,",19"
25/08/2020,",19"
26/08/2020,",19"
27/08/2020,",19"
28/08/2020,",18"
31/08/2020,",16"
01/09/2020,",16"
03/09/2020,",16"
04/09/2020,",16"
07/09/2020,",15"
08/09/2020,",15"
09/09/2020,",15"
10/09/2020,",15"
11/09/2020,",14"
14/09/2020,",14"
17/09/2020,",11"
18/09/2020,",11"
21/09/2020,",11"
22/09/2020,",11"
23/09/2020,",10"
24/09/2020,",11"
25/09/2020,",11"
28/09/2020,",11"
29/09/2020,",11"
30/09/2020,",13"
01/10/2020,",11"
02/10/2020,",11"
05/10/2020,",11"
06/10/2020,",10"
07/10/2020,",10"
08/10/2020,",10"
09/10/2020,",10"
12/10/2020,",10"
13/10/2020,",10"
14/10/2020,",10"
15/10/2020,",10"
16/10/2020,",10"
19/10/2020,",10"
20/10/2020,",11"
21/10/2020,",10"
22/10/2020,",10"
23/10/2020,",10"
26/10/2020,",11"
27/10/2020,",10"
28/10/2020,",10"
29/10/2020,",10"
30/10/2020,",11"
02/11/2020,",10"
03/11/2020,",10"
04/11/2020,",11"
05/11/2020,",12"
06/11/2020,",12"
09/11/2020,",11"
10/11/2020,",11"
11/11/2020,",11"
12/11/2020,",11"
16/11/2020,",11"
17/11/2020,",11"
18/11/2020,",11"
19/11/2020,",11"
20/11/2020,",11"
23/11/2020,",11"
24/11/2020,",10"
25/11/2020,",10"
26/11/2020,",11"
27/11/2020,",10"
30/11/2020,",10"
01/12/2020,",10"
02/12/2020,",10"
03/12/2020,",11"
04/12/2020,",11"
07/12/2020,",11"
08/12/2020,",11"
09/12/2020,",11"
10/12/2020,",10"
11/12/2020,",11"
14/12/2020,",11"
15/12/2020,",10"
16/12/2020,",10"
17/12/2020,",10"
18/12/2020,",11"
21/12/2020,",11"
22/12/2020,",11"
23/12/2020,",11"
24/12/2020,",11"
25/12/2020,",12"
28/12/2020,",12"
29/12/2020,",13"
30/12/2020,",13"
31/12/2020,",15"
